trade_date,open,high,low,close
2024-11-07,986.50,1038.03,984.56,1028.44
2024-11-08,1053.45,1070.95,1025.43,1025.64
2024-11-11,1033.55,1074.52,1028.10,1073.84
2024-11-12,1070.64,1080.57,1040.91,1050.54
2024-11-13,1042.20,1062.65,1039.58,1061.37
2024-11-14,1056.21,1065.20,1024.55,1027.32
2024-11-15,1024.60,1030.27,986.86,986.88
2024-11-18,989.40,1001.99,962.83,968.71
2024-11-19,974.00,999.96,960.01,998.01
2024-11-20,992.67,1008.56,988.26,1002.54
2024-11-21,1002.97,1020.00,999.56,1011.46
2024-11-22,1011.64,1018.51,968.96,969.35
2024-11-25,970.82,974.29,941.21,957.92
2024-11-26,955.58,967.92,950.51,951.59
2024-11-27,947.95,987.98,940.87,985.97
2024-11-28,985.79,1003.42,981.37,983.68
2024-11-29,980.43,1024.53,978.39,1007.39
2024-12-02,1008.71,1022.59,1002.06,1015.79
2024-12-03,1017.07,1021.70,997.11,1005.26
2024-12-04,1020.08,1023.06,995.20,999.36
2024-12-05,993.17,1006.57,992.89,1001.84
2024-12-06,1004.77,1024.84,994.63,1014.45
2024-12-09,1012.88,1016.94,995.41,1003.38
2024-12-10,1051.53,1051.90,1008.50,1010.91
2024-12-11,1007.55,1016.83,1004.36,1007.19
2024-12-12,1008.14,1014.56,999.06,1010.90
2024-12-13,1003.99,1009.35,988.73,989.78
2024-12-16,990.57,992.36,971.10,975.27
2024-12-17,974.04,980.57,965.49,967.28
2024-12-18,970.46,984.76,965.56,981.51
2024-12-19,969.38,997.80,967.86,993.00
2024-12-20,990.06,1024.72,989.41,1011.21
2024-12-23,1011.19,1025.81,996.89,998.61
2024-12-24,1002.50,1015.87,991.30,1014.02
2024-12-25,1018.57,1024.95,1009.71,1017.36
2024-12-26,1014.07,1030.67,1010.94,1027.02
2024-12-27,1026.71,1044.15,1016.98,1018.58
2024-12-30,1014.78,1031.46,1011.10,1020.63
2024-12-31,1020.52,1021.41,988.93,988.93
2025-01-02,986.82,986.82,945.45,955.33
2025-01-03,955.72,963.23,941.25,941.82
2025-01-06,943.76,949.59,931.00,938.71
2025-01-07,938.60,966.07,936.65,965.53
2025-01-08,956.71,976.62,937.82,965.12
2025-01-09,962.23,972.47,960.54,961.44
2025-01-10,962.22,980.75,950.59,950.59
2025-01-13,938.38,955.08,936.78,952.19
2025-01-14,958.49,984.03,946.63,981.78
2025-01-15,976.13,988.86,970.82,977.66
2025-01-16,982.09,991.90,954.15,956.40
2025-01-17,949.84,977.81,947.84,965.90
2025-01-20,969.84,978.22,962.40,968.27
2025-01-21,973.91,980.15,964.86,976.30
2025-01-22,972.21,980.41,967.67,975.34
2025-01-23,987.26,994.77,966.11,966.11
2025-01-24,966.09,980.43,966.09,974.83
2025-01-27,972.19,975.96,954.90,955.09
2025-02-05,989.12,989.53,974.99,982.83
2025-02-06,977.02,1012.88,975.37,1011.22
2025-02-07,1011.06,1035.17,1003.24,1018.80
2025-02-10,1023.02,1038.02,1018.37,1036.77
2025-02-11,1034.95,1038.60,1018.39,1024.41
2025-02-12,1026.87,1042.13,1021.57,1041.14
2025-02-13,1040.42,1041.98,1016.23,1017.09
2025-02-14,1012.61,1024.96,1008.28,1022.46
2025-02-17,1030.86,1039.75,1026.89,1037.31
2025-02-18,1034.63,1036.50,1006.94,1011.17
2025-02-19,1010.67,1035.06,1010.37,1034.57
2025-02-20,1034.79,1041.62,1025.92,1033.09
2025-02-21,1042.40,1098.60,1038.85,1094.77
2025-02-24,1093.03,1110.06,1084.57,1100.05
2025-02-25,1083.94,1119.30,1079.49,1102.90
2025-02-26,1108.58,1129.63,1093.27,1126.82
2025-02-27,1127.25,1140.37,1101.52,1126.29
2025-02-28,1118.52,1123.56,1076.01,1078.80
2025-03-03,1079.64,1087.72,1055.77,1062.35
2025-03-04,1052.47,1088.53,1050.25,1080.66
2025-03-05,1081.10,1090.47,1072.06,1083.82
2025-03-06,1100.44,1125.64,1099.72,1121.58
2025-03-07,1113.84,1120.98,1102.61,1107.62
2025-03-10,1107.31,1111.74,1088.34,1105.16
2025-03-11,1086.38,1102.91,1085.46,1100.74
2025-03-12,1107.96,1112.16,1092.67,1092.71
2025-03-13,1093.59,1094.89,1064.25,1069.70
2025-03-14,1070.80,1089.26,1069.01,1088.11
2025-03-17,1090.00,1090.11,1077.49,1083.21
2025-03-18,1087.34,1103.49,1087.34,1089.83
2025-03-19,1084.90,1089.63,1075.10,1076.94
2025-03-20,1075.13,1076.37,1064.25,1064.79
2025-03-21,1063.33,1065.41,1036.37,1042.89
2025-03-24,1042.33,1048.17,1029.91,1045.94
2025-03-25,1045.85,1049.31,1028.54,1031.70
2025-03-26,1029.81,1040.22,1028.80,1029.05
2025-03-27,1028.69,1053.22,1026.20,1040.57
2025-03-28,1037.76,1044.92,1029.46,1029.48
2025-03-31,1024.26,1031.34,1011.97,1022.71
2025-04-01,1027.96,1037.32,1022.78,1024.38
2025-04-02,1021.82,1030.91,1020.38,1022.75
2025-04-03,1011.60,1030.55,1011.60,1018.07
2025-04-07,960.49,982.77,877.71,924.17
2025-04-08,932.24,950.74,923.67,940.09
2025-04-09,922.86,992.34,917.35,980.57
2025-04-10,1003.68,1006.15,985.71,991.22
2025-04-11,990.83,1027.54,987.83,1011.71
2025-04-14,1018.26,1025.44,1006.17,1014.28
2025-04-15,1011.67,1012.02,995.82,1006.34
2025-04-16,1016.76,1017.14,996.40,1014.51
2025-04-17,1007.63,1024.04,1006.77,1016.81
2025-04-18,1011.51,1012.93,1003.43,1008.60
2025-04-21,1012.81,1021.38,1008.56,1019.41
2025-04-22,1018.42,1023.50,1012.60,1016.22
2025-04-23,1019.02,1022.66,1010.09,1012.65
2025-04-24,1012.33,1012.40,1000.46,1003.32
2025-04-25,1003.87,1011.59,997.98,1004.57
2025-04-28,1004.05,1008.59,997.90,1002.83
2025-04-29,996.97,1005.71,994.22,1003.87
2025-04-30,1000.65,1014.37,1000.65,1012.42
